Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
752936,A Shropshire Lad,A.E. Housman,"Housman, A.E.",,"=""0486264688""","=""9780486264684""",0,4.02,"Dover Publications, New York",Paperback,51,1990,1896,2025/01/17,2025/01/08,,,read,"""[H]aving finished A.E. Housman’s A Shropshire Lad, I can see why he’s considered among the middling English poets…""<br/><br/>https://aaronmorey.com/posts/2025/a-shropshire-lad/<br/>",,,1,0
460548,"Go, Dog. Go!",P.D. Eastman,"Eastman, P.D.",,"=""0394800206""","=""9780394800202""",0,4.15,Random House,Hardcover,64,1961,1961,,2025/01/19,,,read,"I don't normally enter the books I read the kids, but I have to get this one off my chest: it's kind of weird that the through-going plot (text, not subtext) is about a guy driving down a woman's self-confidence until, when he finally pays her a compliment, she immediately goes home with him, right?",,,1,0
60557409,Winters in the World: A Journey through the Anglo-Saxon Year,Eleanor Parker,"Parker, Eleanor",,"=""1789146720""","=""9781789146721""",0,4.20,Reaktion Books,Hardcover,268,2022,2022,,2025/01/19,"to-read, non-fiction","to-read (#173), non-fiction (#17)",to-read,,,,0,0
11212280,"Poems by Emily Dickinson, Series One",Emily Dickinson,"Dickinson, Emily","Mabel Loomis Todd, Thomas Wentworth Higginson","=""""","=""""",0,4.05,,Kindle Edition,145,2011,1890,,2025/01/19,currently-reading,currently-reading (#12),currently-reading,,,,1,0
172979818,The Extinction of Irena Rey,Jennifer  Croft,"Croft, Jennifer",,"=""1639731709""","=""9781639731701""",0,3.20,Bloomsbury Publishing,Hardcover,320,2024,2024,2024/04/26,2024/04/08,,,read,"I wrote a review at my blog: https://aaronmorey.com/posts/2024/the-extinction-of-irena-rey/<br/><br/>""The Extinction of Irena Rey wears a lot of masks: it's part political thriller, part locked room murder mystery, part psychological horror (are the pagan Polish gods real, or is she having a mental breakdown?). But most of all, it's a Borgesian exploration of the concept of death of the author.""",,,1,0
12210,"Collected Poems, Prose, and Plays",Robert Frost,"Frost, Robert","Richard Poirier, Mark Richardson","=""188301106X""","=""9781883011062""",0,4.32,Library of America,Hardcover,1036,1995,1995,2024/05/14,2022/05/03,,,read,My various thoughts on Robert Frost can be found here:  <br/>https://aaronmorey.com/posts/tags/robert-frost/,,,1,0
50398,Northanger Abbey,Jane Austen,"Austen, Jane",Alfred Mac Adam,"=""1593082649""","=""9781593082642""",0,3.85,Barnes & Noble Classics,Paperback,260,2005,1817,2024/06/03,2024/05/20,,,read,A brief review with a couple of very mild spoilers: https://aaronmorey.com/posts/2024/quick-review-northanger-abbey/,true,,1,0
46749,Mrs Dalloway,Virginia Woolf,"Woolf, Virginia","Stella McNichol, Elaine Showalter","=""""","=""""",0,3.79,Penguin Books,Paperback,233,2000,1925,2024/07/29,2021/08/11,infinity-pile,infinity-pile (#9),read,"Lovely, I’m not sure how else to describe it. Proustian without the interminable scenes of awful people blathering on. Woolf (at least here, I haven’t read anything else by her) is gentle and empathetic. Each viewpoint character, as strange or damaged as they might be, is a person who makes up a part of the infinite not fully knowable mosaic of human experience. It’s Chestertonian, without being religious…<br/><br/>https://aaronmorey.com/posts/2024/mrs-dalloway-quick-review/",,,1,0
32277642,The King in Yellow,Robert W. Chambers,"Chambers, Robert W.",,"=""153905344X""","=""9781539053446""",3,3.52,Createspace Independent Publishing Platform,Paperback,224,2016,1895,2024/12/28,2024/11/25,,,read,"""Robert W. Chambers’s The King in Yellow is regarded as a classic of horror writing. I have to say I was less impressed.""<br/><br/>Full review at: https://aaronmorey.com/posts/2024/the-king-in-yellow/",,,1,0
45032,Mansfield Park,Jane Austen,"Austen, Jane","Kathryn Sutherland, Charles Edmund Brock","=""""","=""""",0,3.86,Penguin Books,Paperback,488,2003,1814,2021/05/13,2021/01/30,,,read,,,,1,0
60019073,The Complete Works of W. H. Auden: Poems: Volume I: 1927-1939,W.H. Auden,"Auden, W.H.",Edward Mendelson,"=""069121929X""","=""9780691219295""",0,4.75,Princeton University Press,Hardcover,848,2022,,,2024/11/23,currently-reading,currently-reading (#11),currently-reading,,,,1,0
